"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","review_per_month"
"34",33009,"Retreat in Williamsburg",143027,"Ming","Brooklyn","Williamsburg",40.71512,-73.95899,"Entire home/apt",195,30,297,1.7,1,236,2,1.7
"35",36121,"Lg Rm in Historic Prospect Heights",62165,"Michael","Brooklyn","Prospect Heights",40.67376,-73.96611,"Private room",200,90,9,0.05,1,362,0,0.05
"36",36647,"1 Bedroom & your own Bathroom, Elevator Apartment",157798,"Irene","Manhattan","East Harlem",40.7924537658691,-73.9407424926758,"Private room",85,30,102,0.59,1,85,2,0.59
"37",38833,"Spectacular West Harlem Garden Apt",166532,"Matthew","Manhattan","Harlem",40.8180576,-73.9466707,"Entire home/apt",215,3,229,1.33,1,125,45,1.33
"38",39282,"“Work-from-home” from OUR home.",168525,"Gustavo","Brooklyn","Williamsburg",40.7106513977051,-73.9508743286133,"Private room",173,4,269,1.55,2,39,9,1.55
"39",39572,"1 br in a 2 br apt (Midtown West)",169927,"Hubert","Manhattan","Hell's Kitchen",40.76203,-73.98869,"Private room",139,30,44,0.25,2,365,0,0.25
"40",39593,"A lovely room w/ a Manhattan view",110506,"Myung","Queens","Sunnyside",40.74523,-73.92318,"Private room",78,31,34,0.2,1,305,2,0.2
"41",42729,"@HouseOnHenrySt - Private 2nd bedroom w/shared use",11481,"Annette","Brooklyn","Carroll Gardens",40.67813,-74.00062,"Private room",185,30,220,1.28,4,364,0,1.28
"42",43105,"Studio 3 blocks from Empire State Building",188082,"Thomas","Manhattan","Midtown",40.7449,-73.98499,"Entire home/apt",155,30,4,0.05,1,365,0,0.05
"43",44229,"BROOKLYN VICTORIAN STYLE SUITE.....",181376,"Carol","Brooklyn","Fort Greene",40.69287,-73.97108,"Private room",110,30,232,1.35,2,365,0,1.35
"44",44973,"Creative South Williamsburg Studio",198411,"Anastasia","Brooklyn","Williamsburg",40.70894,-73.95234,"Entire home/apt",98,30,124,0.72,1,212,0,0.72
"45",45737,"Amazing West Village Apt",203444,"Dana","Manhattan","West Village",40.73948,-74.00504,"Private room",73,60,31,0.18,1,153,2,0.18
"46",45935,"Room in Beautiful Townhouse.",204586,"L","Bronx","Mott Haven",40.80635,-73.92201,"Private room",60,30,0,0,1,83,0,0
"47",45936,"Couldn't Be Closer To Columbia Uni",867225,"Rahul","Manhattan","Morningside Heights",40.8063,-73.95985,"Private room",77,31,134,0.8,2,220,1,0.8
"48",46911,"Large Room pr/h Br/St in Park Slope",210746,"Kathleen R","Brooklyn","Park Slope",40.680098964255,-73.9746189673198,"Private room",100,30,73,0.42,3,263,4,0.42
"49",49048,"Dreamy Loft Style w own bathroom",35935,"Angela","Brooklyn","Bedford-Stuyvesant",40.6829,-73.95701,"Private room",95,30,28,0.17,6,323,3,0.17
"50",52689,"Private, sunny two-bedroom near subway & shops",244071,"Litza","Queens","Ditmars Steinway",40.77868,-73.90652,"Private room",171,4,97,0.58,1,50,22,0.58
"51",53469,"cozy studio with parking spot",204539,"Mark","Queens","Middle Village",40.71567,-73.87842,"Entire home/apt",130,30,33,0.19,9,365,0,0.19
"52",53477,"3 floors of luxury!",204539,"Mark","Queens","Middle Village",40.71778,-73.87714,"Entire home/apt",350,30,16,0.1,9,335,0,0.1
"53",54466,"Beautiful Uptown Manhattan apartmnt",253385,"Douglas","Manhattan","Harlem",40.80255,-73.95803,"Private room",200,30,0,0,1,365,0,0
"54",54508,"S/Rm Br/st  PSlope great for  Med/Stu",210746,"Kathleen R","Brooklyn","Park Slope",40.6789595110935,-73.9740947464133,"Private room",96,3,186,1.09,3,244,14,1.09
"55",54860,"Bedroom in my apartment with a private bathroom.",258164,"Jenny","Manhattan","East Harlem",40.79934,-73.94236,"Private room",125,30,304,1.78,1,317,5,1.78
"56",55959,"Work From Our Home w/ Loft",168525,"Gustavo","Brooklyn","Williamsburg",40.71065,-73.95087,"Private room",178,4,113,0.82,2,50,12,0.82
"57",56859,"City Room - Private & Comfy Bedroom",256161,"Wayne","Manhattan","Harlem",40.81201,-73.94452,"Private room",79,30,272,1.61,4,89,0,1.61
"58",57166,"Elegant NYC Pad",272006,"Vasili","Queens","Ditmars Steinway",40.772472,-73.906075,"Entire home/apt",108,30,163,0.96,1,342,6,0.96
"59",57297,"Clean & cozy 1BR in Cobble Hill, GREAT location!",199392,"S.M.","Brooklyn","Brooklyn Heights",40.69003,-73.99338,"Private room",292,30,295,1.74,1,154,1,1.74
"60",58059,"Traveling Nurses and Medical Professionals",277379,"Agnes","Manhattan","Harlem",40.8238,-73.94444,"Private room",42,30,683,4.15,2,300,4,4.15
"61",59014,"Spacious 1BR, Adorable Clean Quiet",282927,"Drica","Manhattan","Lower East Side",40.71946,-73.98641,"Entire home/apt",150,30,60,0.36,1,365,0,0.36
"62",59121,"Convenient 3BR w/6 beds!!",204539,"Mark","Queens","Ridgewood",40.70271,-73.8993,"Entire home/apt",262,30,4,0.03,9,365,0,0.03
"63",60611,"SpaHa Studio Monthly Rental",292204,"Blanca","Manhattan","East Harlem",40.792667388916,-73.946533203125,"Entire home/apt",110,30,196,1.19,4,92,0,1.19
"64",60666,"City Room - Private Luxury Suite",256161,"Wayne","Manhattan","Harlem",40.81006,-73.94559,"Private room",89,30,282,1.67,4,89,0,1.67
"65",60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,"Mich","Manhattan","East Village",40.72598,-73.97978,"Entire home/apt",185,30,167,0.99,6,339,2,0.99
"66",61406,"Great room in great location",297176,"Bethania","Manhattan","Harlem",40.80371,-73.95635,"Private room",65,60,2,0.03,2,135,1,0.03
"67",62925,"Beautiful Landmarked Duplex",306739,"Maya","Brooklyn","Greenpoint",40.72967,-73.95352,"Entire home/apt",285,30,172,1.03,2,180,1,1.03
"68",63588,"LL3",295128,"Carol Gloria","Bronx","Clason Point",40.81161,-73.85499,"Private room",89,30,0,0,6,0,0,0
"69",63610,"Dominique's mini guest suite* Metro* Wi-Fi* Cosy",310670,"Violet","Bronx","Eastchester",40.881,-73.83511,"Entire home/apt",124,30,57,0.41,7,358,0,0.41
"70",64314,"cozy bedroom in lovely garden apt",314256,"Debbie","Brooklyn","Crown Heights",40.67634,-73.95143,"Private room",75,30,46,0.27,1,338,0,0.27
"71",64365,"Crown Heights Garden Apt.",314582,"Anthony","Brooklyn","Crown Heights",40.67579,-73.95072,"Private room",65,30,256,1.55,2,336,3,1.55
"72",66008,"CHARMING CARROLL GARDENS APT.",322884,"Melissa","Brooklyn","Carroll Gardens",40.68028,-73.99328,"Entire home/apt",190,30,68,0.44,1,49,0,0.44
"73",66251,"East Village Loft with Piano & Patio",324460,"Samir","Manhattan","East Village",40.72547,-73.98619,"Entire home/apt",349,30,170,1.47,1,101,3,1.47
"74",66275,"Lower East Side Magic Apartment Entire Apartment!!",314941,"Tony","Manhattan","Nolita",40.72036,-73.99435,"Entire home/apt",299,30,211,1.3,3,365,0,1.3
"75",66974,"Lovely, Modern, Garden Apartment",329436,"Jana","Brooklyn","Gowanus",40.68088,-73.99102,"Entire home/apt",220,30,247,1.63,2,325,8,1.63
"76",67299,"Cozy Garden Apartment  in Williamsburg",330347,"Adrienne","Brooklyn","Williamsburg",40.71516,-73.96448,"Entire home/apt",164,30,83,0.5,1,58,5,0.5
"77",68735,"Prewar Penthouse w Private Terrace",342054,"Violetta","Manhattan","Upper West Side",40.78846,-73.97459,"Entire home/apt",225,30,38,0.24,1,262,1,0.24
"78",69894,"Nice renovated apt, prime location!",352168,"Silvia","Manhattan","Upper West Side",40.77845,-73.98295,"Entire home/apt",160,30,67,0.44,1,105,4,0.44
"79",71812,"Condo Apartment with Laundry and Assigned Parking",369015,"Thai","Bronx","Kingsbridge",40.87069,-73.90113,"Entire home/apt",90,30,16,0.21,2,256,0,0.21
"80",74680,"One Bedroom Mini studio - Free WIFI",265109,"Nazleen","Queens","Astoria",40.77507,-73.93367,"Private room",124,30,268,1.64,1,365,2,1.64
"81",75635,"Bright Cozy Chinatown Studio Apt.",401696,"Patricia","Manhattan","Chinatown",40.71624,-73.994,"Entire home/apt",120,30,423,2.54,1,302,8,2.54
"82",75658,"Modern Bed Stuy loft + rooftop garden",401921,"Noemi","Brooklyn","Bedford-Stuyvesant",40.6955887908579,-73.9546192369161,"Private room",221,30,20,0.12,1,364,0,0.12
"83",77765,"Superior @ Box House",417504,"The Box House Hotel","Brooklyn","Greenpoint",40.73777,-73.95366,"Hotel room",399,1,68,0.41,29,151,13,0.41
"84",80493,"Cozy room in East Village with AC",434987,"Jennifer","Manhattan","East Village",40.7226132,-73.9854593,"Private room",70,30,233,1.41,1,365,2,1.41
"85",82638,"Charming Artist's Flat, East Village",449787,"Sarah","Manhattan","East Village",40.72408,-73.98154,"Entire home/apt",140,30,283,1.72,1,349,3,1.72
"86",82928,"BEAUTIFUL 2 BEDROOM APARTMENT",451545,"Ruthven","Brooklyn","Bedford-Stuyvesant",40.68433,-73.94469,"Entire home/apt",165,30,82,0.76,1,204,4,0.76
"87",83243,"Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!",453519,"Julian","Brooklyn","Bushwick",40.68769,-73.91788,"Entire home/apt",56,30,251,1.52,1,318,4,1.52
"88",83474,"NY Mag & Budget Travel love us!",260682,"Matthew","Brooklyn","Downtown Brooklyn",40.69132,-73.98573,"Private room",184,30,5,0.03,1,327,0,0.03
"89",84010,"Superior @ Box House",417504,"The Box House Hotel","Brooklyn","Greenpoint",40.73777,-73.95366,"Hotel room",399,1,35,0.22,29,158,7,0.22
"90",94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,"Keishera","Brooklyn","Crown Heights",40.6736,-73.9551,"Entire home/apt",145,30,156,0.95,1,70,8,0.95
"91",96471,"The Brooklyn Waverly, One Bedroom",116599,"Sahr","Brooklyn","Clinton Hill",40.68513,-73.96648,"Private room",171,30,11,0.07,3,364,0,0.07
"92",98663,"Groovy NYC Chelsea Pad",520279,"Peter Michael","Manhattan","Chelsea",40.75077,-73.99657,"Entire home/apt",150,30,18,0.11,1,308,0,0.11
"93",100002,"MANHATTAN Cozy, Neat, Nice, Bright ROOM",523218,"Giorgio","Manhattan","Washington Heights",40.85433,-73.9324,"Private room",62,30,150,0.91,1,173,0,0.91
"94",100186,"Large Modern Park Slope 1BR",526805,"Mi","Brooklyn","Gowanus",40.66952,-73.99201,"Entire home/apt",150,30,123,0.75,1,111,4,0.75
"95",100368,"Greenwich Village Brownstone -- Huge Private Deck",526105,"Scott","Manhattan","West Village",40.7369454601103,-73.9984731674194,"Entire home/apt",258,30,39,0.24,1,129,1,0.24
"96",103555,"Clean&Serene in Scenic Fort Greene",220001,"Gordon","Brooklyn","Fort Greene",40.693047,-73.971985,"Entire home/apt",325,30,286,1.74,1,0,0,1.74
"97",105469,"surf/stay regular",547386,"Michelle","Queens","Rockaway Beach",40.58603,-73.8145,"Private room",114,30,16,0.1,1,90,0,0.1
"98",106363,"Bright Room With A Great River View",551055,"Alicia","Manhattan","Harlem",40.82772,-73.95284,"Private room",91,30,470,2.87,1,242,5,2.87
"99",106647,"Tree lined block modern apartment",552679,"Olivia","Brooklyn","Bedford-Stuyvesant",40.68647,-73.95862,"Entire home/apt",190,30,122,0.74,1,87,0,0.74
"100",107630,"Sweet Historic Greenpoint Duplex",306739,"Maya","Brooklyn","Greenpoint",40.72741,-73.95466,"Entire home/apt",175,30,353,2.17,2,123,1,2.17
"101",112435,"ALL ABOUT A VERY COMFORTABLE ROOM..",181376,"Carol","Brooklyn","Fort Greene",40.69132,-73.97306,"Private room",95,30,178,1.09,2,365,0,1.09
"102",113265,"Brooklyn- Crown Heights Garden Apt.",314582,"Anthony","Brooklyn","Crown Heights",40.67582,-73.9518,"Private room",60,30,275,1.69,2,322,1,1.69
"103",115748,"1 BDRM Apt-Weekend Sublease",585166,"Lilly","Queens","Astoria",40.76406,-73.92266,"Entire home/apt",110,30,41,0.26,1,88,0,0.26
"104",116551,"Beautiful Harlem Studio Apartment - private access",497672,"Cynthia And  Charlie","Manhattan","Harlem",40.80384,-73.95123,"Entire home/apt",85,30,182,1.11,1,117,6,1.11
"105",118061,"Style in Stuyvesant Heights",2248897,"Roberta","Brooklyn","Bedford-Stuyvesant",40.68462,-73.92895,"Entire home/apt",130,30,94,0.59,1,361,4,0.59
"106",121687,"Spacious Brooklyn Loft",262812,"Vikram","Brooklyn","Williamsburg",40.71983,-73.95992,"Entire home/apt",200,30,57,0.36,1,152,0,0.36
"107",125163,"Authentic New York City Living",622855,"Desmond","Brooklyn","Bedford-Stuyvesant",40.68595,-73.92923,"Entire home/apt",106,30,94,0.7,2,317,3,0.7
"108",128975,"City Room - Street View Apt",256161,"Wayne","Manhattan","Harlem",40.81127,-73.94561,"Entire home/apt",120,30,131,0.8,4,89,2,0.8
"109",135465,"Garden apartment close to Manhattan",663879,"Christopher","Brooklyn","Fort Greene",40.68646,-73.97548,"Entire home/apt",170,30,135,0.85,1,320,2,0.85
"110",136493,"Historical space with exceptional light & art",663384,"Irena","Brooklyn","Park Slope",40.67497,-73.97796,"Entire home/apt",295,7,44,0.3,1,55,2,0.3
"111",139624,"Spacious, Sunny, private one bedroom",680818,"Jessica","Brooklyn","Crown Heights",40.67478,-73.95165,"Entire home/apt",64,30,86,0.54,1,43,4,0.54
"112",140133,"Truly Amazing Oasis In Williamsburg",622866,"Daniel","Brooklyn","Williamsburg",40.71347,-73.96035,"Entire home/apt",296,30,193,1.2,1,125,5,1.2
"113",148825,"Best City Area Columbia U Upper West Side C Park",718349,"Alan","Manhattan","Upper West Side",40.79999,-73.96338,"Entire home/apt",112,30,310,2.03,2,333,7,2.03
"114",150804,"Colorful 2+ Bedroom Apt. on NYC's Lower East Side",726333,"Peter","Manhattan","Lower East Side",40.7203,-73.98424,"Private room",425,4,75,0.47,1,171,17,0.47
"115",151199,"Astoria/LIC  Shared  Home located near train",722320,"Gladys","Queens","Astoria",40.7573,-73.91488,"Private room",150,3,521,3.25,1,338,0,3.25
"116",152263,"Cozy private room and bathroom in a Brownstone",732535,"William","Manhattan","Harlem",40.80493,-73.94999,"Private room",250,3,371,2.32,2,296,26,2.32
"117",157673,"Large  Loft Style  Studio  Space",757166,"Tokunbo","Brooklyn","Bedford-Stuyvesant",40.68096,-73.94062,"Entire home/apt",65,30,92,0.57,1,276,0,0.57
"118",158061,"Hancock Town House!-Stuyvesant Mews",758441,"Fred","Brooklyn","Bedford-Stuyvesant",40.68511,-73.91927,"Private room",165,30,27,0.17,4,365,0,0.17
"119",159749,"Music Room for 2 in brownstone- $1950monthly",54275,"JT And Tiziana","Brooklyn","Bedford-Stuyvesant",40.68048,-73.93938,"Private room",120,30,76,0.48,4,248,0,0.48
"120",159815,"The Art Room for two in Brownstone for $1650 mo",54275,"JT And Tiziana","Brooklyn","Bedford-Stuyvesant",40.68048,-73.93938,"Private room",106,30,63,0.4,4,290,1,0.4
"121",166006,"Nice Manhattan Apt Near Central Park and Subway",791287,"Giancarlo","Manhattan","Upper West Side",40.79864,-73.96209,"Entire home/apt",275,31,187,1.16,1,18,0,1.16
"122",168123,"Brooklyn- sunny, quiet, homelike-Park Slope South",720558,"Sara","Brooklyn","Windsor Terrace",40.65891,-73.98556,"Entire home/apt",108,30,123,0.77,1,172,3,0.77
"123",170761,"Fort Greene, Brooklyn: Front Bedroom",67778,"Douglas","Brooklyn","Fort Greene",40.6887761532192,-73.9776235969366,"Private room",98,2,252,1.97,2,206,65,1.97
"124",171562,"Chelsea studio with balcony & views",60923,"Omri","Manhattan","Chelsea",40.74937,-73.99467,"Entire home/apt",230,60,32,0.2,1,88,0,0.2
"125",173151,"spacious room",826459,"Jane","Brooklyn","Greenpoint",40.72852,-73.95655,"Private room",78,30,261,1.62,1,63,0,1.62
"126",176135,"Cosy Sunny 1brm in Prospect Heights",842125,"Jenna","Brooklyn","Crown Heights",40.67545,-73.96096,"Entire home/apt",112,30,31,0.19,1,63,0,0.19
"127",177606,"Spacious Private Jr. One Bedroom Near NYU Hospital",849492,"Kathrine","Manhattan","Kips Bay",40.74045,-73.9749,"Entire home/apt",150,30,129,0.81,1,320,3,0.81
"128",182069,"Cozy entire studio Apartment",39260,"Mat","Manhattan","East Harlem",40.78959,-73.94705,"Entire home/apt",139,30,126,0.79,1,362,3,0.79
"129",182177,"A PRIVATE FLAT / APARTMENT- $SPECIAL$",873273,"Christian","Bronx","Allerton",40.86502,-73.85496,"Entire home/apt",225,60,347,2.16,2,365,2,2.16
"130",190974,"Beautiful Grdn. Apt. in Park Slope",874471,"Alan","Brooklyn","Park Slope",40.66836,-73.98166,"Entire home/apt",130,30,313,2.04,1,336,0,2.04
"131",191610,"Presence Guest Room - Chelsea NYC",927028,"Tony","Manhattan","Chelsea",40.7469729693926,-74.0017839702331,"Private room",146,2,147,0.94,1,37,21,0.94
"132",195123,"Cheerful, comfortable room",940724,"Susan","Manhattan","Washington Heights",40.83338,-73.94326,"Private room",75,30,229,1.42,1,365,0,1.42
"133",195240,"Covid Clean since '11!",949221,"Dennis","Brooklyn","Flatbush",40.65468,-73.95721,"Private room",60,30,90,0.6,1,88,0,0.6
"134",195989,"Sunny, Large, Park Slope Bedroom",611716,"Elizabeth","Brooklyn","Park Slope",40.6767158,-73.9818207,"Private room",105,3,230,1.44,1,0,0,1.44
"135",199733,"Solo Travelers Private Garden XL Studio",241559,"Demi","Brooklyn","Crown Heights",40.67635,-73.96108,"Entire home/apt",126,30,133,0.84,3,365,2,0.84
"136",201992,"Serene Park Slope Garden Apartment",988350,"Andrea","Brooklyn","Park Slope",40.67466,-73.97853,"Entire home/apt",190,30,106,0.82,1,357,0,0.82
"137",204065,"St. James Place 1.5-2bdrm 1block to PRATT & Gtrain",51038,"Erica","Brooklyn","Clinton Hill",40.687,-73.96149,"Entire home/apt",398,30,114,0.71,2,365,2,0.71
"138",205485,"Ideal Brooklyn Brownstone Apartment",1010242,"Zora & Chris","Brooklyn","Bedford-Stuyvesant",40.68339,-73.94034,"Entire home/apt",185,30,158,0.99,1,178,0,0.99
"139",206957,"Bright Modern Charming Housebarge",1018472,"Angus","Brooklyn","Sheepshead Bay",40.5847,-73.94088,"Private room",72,30,126,0.79,2,87,0,0.79
"140",208889,"Welcome to Brooklyn! Bed-Stuy",1029021,"Jameelah","Brooklyn","Bedford-Stuyvesant",40.69049,-73.93212,"Entire home/apt",82,30,66,0.41,2,250,3,0.41
"141",209310,"Subway, City View, Elevator, Large Private Room",1031148,"Iulia","Queens","Sunnyside",40.7393341064453,-73.9248046875,"Private room",55,30,310,2.01,1,154,7,2.01
"142",212109,"Charming Greenwich Village share",666271,"Susan","Manhattan","West Village",40.73814,-74.00811,"Private room",98,31,13,0.12,1,187,1,0.12
"143",213330,"Master Bedroom - Unbelievably RARE Penthouse Oasis",800223,"Nader","Manhattan","Chinatown",40.7168159484863,-73.9896926879883,"Private room",215,5,75,0.65,1,303,13,0.65
"144",216080,"Spacious & Sunny Safe Haven",17571,"Jane","Brooklyn","Fort Greene",40.69062,-73.97354,"Private room",183,30,155,0.97,2,286,1,0.97
"145",218358,"Your Haven in the Upper West Side",1129218,"Orlando","Manhattan","Harlem",40.80592,-73.95172,"Private room",70,30,30,0.25,1,314,3,0.25
"146",219066,"Wonderful Studio In Brooklyn, NY!!!",447754,"Yana","Brooklyn","Bensonhurst",40.61943,-73.99232,"Entire home/apt",110,30,37,0.23,1,216,5,0.23
"147",219922,"Lovely Bdr in Harlem, Manhattan",1139574,"Carmel","Manhattan","Harlem",40.81553,-73.95438,"Private room",90,30,36,0.24,1,89,0,0.24
"148",222304,"BEST DEAL IN CHELSEA 1 bdrm NYC",1153993,"Anton","Manhattan","Chelsea",40.7401,-74.00019,"Entire home/apt",139,30,38,0.24,1,102,2,0.24
"149",223930,"Lovely Apartment",1164642,"Rosalynn","Brooklyn","Prospect Heights",40.67319,-73.96804,"Entire home/apt",150,30,19,0.12,1,363,0,0.12
"150",225354,"Charming Loft Studio with Patio",1158300,"Camila","Brooklyn","Williamsburg",40.71085,-73.96672,"Entire home/apt",180,30,11,0.07,1,203,0,0.07
"151",225976,"Cozy multi-leveled apartment!",1177947,"Marina","Staten Island","Shore Acres",40.61019,-74.06757,"Entire home/apt",84,30,99,0.62,1,286,5,0.62
"152",226021,"Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost",815977,"Ryan","Brooklyn","Williamsburg",40.71137,-73.9465,"Entire home/apt",180,30,250,1.57,2,182,1,1.57
"153",227495,"Great studio apt near Central Park",959931,"Kimball","Manhattan","Upper West Side",40.78764,-73.97274,"Entire home/apt",150,30,109,0.68,1,104,6,0.68
"154",228317,"Your Haven Awaits At ""Emma's Place""",1191142,"Lady Jay","Brooklyn","Bedford-Stuyvesant",40.6856383250251,-73.9247022941709,"Private room",160,30,92,0.58,1,198,0,0.58
"155",230877,"Monthly Apartment Rental",292204,"Blanca","Manhattan","East Harlem",40.79147,-73.94629,"Entire home/apt",110,30,124,0.78,4,35,3,0.78
"156",232612,"Lovely pied-à-terre, in an historic building",1217241,"Dee","Brooklyn","Bedford-Stuyvesant",40.6851884717662,-73.9426883954903,"Private room",129,3,534,3.36,1,53,45,3.36
"157",233638,"rooms for rent in Queens with piano",1012895,"Melody","Queens","Ridgewood",40.70132,-73.90883,"Private room",87,30,24,0.17,1,365,0,0.17
"158",235552,"HUGE Sunny Duplex Loft with Garden",1234405,"Bertie","Brooklyn","South Slope",40.66386,-73.98519,"Entire home/apt",300,30,39,0.25,1,111,0,0.25
"159",235651,"LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!",83257,"Olan","Manhattan","Chelsea",40.74168,-74.00339,"Private room",110,30,85,0.54,2,364,0,0.54
